ID,Brand,Name,Original Price,Price,Category
MP002XW15BPW,Gloss,Куртка,5790,1990,Куртка
MP002XW14HKC,Velocity,Джинсы,3900,3510,Джинсы
MP002XW15ACB,Columbia,Куртка утепленная Suttle Mountain™,11999,8999,Куртка
MP002XW14E5H,Fashion.Love.Story,Куртка утепленная,6400,4800,Куртка
MP002XW1224N,Incanto,Пальто,11999,9599,Пальто
MP002XW11EUC,Adzhedo,Платье,7400,5190,Платье
WO004EWKFKA1,women'secret,Комплект BRASILIEN,2199,1759,Комплект
PU053EWJZQI3,PUMA,Тайтсы Evostripe Evoknit 7/8 Tight,3490,3490,Тайтсы
MP002XW11M74,D.Jagazi,Плащ,13990,3990,Плащ
TR015EWKQBQ3,TrendyAngel,Костюм,7990,7190,Костюм
MP002XW0RVTC,Chic,Куртка,13320,7243,Куртка
MP002XW1GCXX,Concept,Джемпер,1399,999,Джемпер
MP002XW13IRC,Velocity,Джинсы,5400,3950,Джинсы
UN012EWJZBG1,United,Юбка,6599,5930,Юбка
MP002XW0HCNM,Mustang,Куртка утепленная Heidi H Shortparka,11999,11999,Куртка
MP002XW0S45N,Falconeri,Платье,16900,16900,Платье
UL002EWJXYZ1,Ulla,Юбка,8199,3685,Юбка
MP002XW0GUPU,Lacoste,Парка,38900,38900,Парка
MP002XW03ACS,Love,Шуба,9999,9999,Шуба
PI752EWJPRB3,Pieces,Леггинсы,3399,3050,Леггинсы
VA020EWKMRX4,Vagi,Костюм,9499,4319,Костюм
MP002XW02SOM,Zarina,Куртка утепленная,4999,3999,Куртка
MP002XW0EB11,Sport,Платье,4450,1999,Платье
VI005EWKCUQ4,Violeta,Футболка - NUBE,3599,1999,Футболка
TR015EWKKHK4,TrendyAngel,Костюм спортивный,10699,4810,Костюм
QU192EWLFMS2,Quiksilver,Блуза,4699,4699,Блуза
MP002XW0EABA,Merrell,Платье,2999,2999,Платье
NI464EWKNWU9,Nike,Тайтсы W NK FAST CROP RUNWAY PR HR,3999,2712,Тайтсы
MP002XW1224Z,Incanto,Бюстгальтер,3999,3999,Бюстгальтер
MA204EWKOVA6,Marc,Куртка джинсовая,14399,14399,Куртка
MP002XW14HGV,oodji,Джинсы,2299,2299,Джинсы
RO165EWKNSH5,Roxy,Худи,4999,4999,Худи
VA984EWKRKJ5,Vans,Футболка Vans X The Simpsons,3190,3190,Футболка
KA025EWKRLD8,Karl,Парка,40100,40100,Парка
MP002XW118VB,Incanto,Плавки,1999,1699,Плавки
JA908EWJPFL6,Jacqueline,Куртка утепленная,4999,4490,Куртка
MP002XW02WY2,Zarina,Платье LIMITED COLLECTION,3599,3599,Платье
MP002XW1GCTY,Concept,Джемпер,1399,1199,Джемпер
JA021EWKRXW4,Jack,Куртка утепленная KYOTO COAT W,16190,11656,Куртка
MP002XW11HU4,Love,Джинсы,2999,1499,Джинсы
JA021EWKRXW3,Jack,Куртка утепленная WILDWOOD JACKET W,23790,17128,Куртка
VI005EWKIDQ5,Violeta,Шорты - BUCARA,3599,2299,Шорты
MP002XW11CPD,Concept,Джинсы,2399,2399,Джинсы
TR015EWKQBO2,TrendyAngel,Юбка,4990,2793,Юбка
MP002XW02R3P,Артесса,Платье,5300,5300,Платье
IX001XW00N93,Pull&Bear,Куртка,1899,1299,Куртка
