ID,Brand,Name,Original Price,Price,Category,site
21202062,Russell athletic,Зеленый кроп-топ с длинными рукавами и принтом тай-дай Russell Athletic,4390,4390,Топ,asos
21201805,Russell athletic,Черный кроп-топ в рубчик Russell Athletic,2890,2890,Топ,asos
21176453,Calvin klein,Красный худи с логотипом на груди Calvin Klein Jeans,8190,8190,Худи,asos
21175785,Calvin klein,Серо-бежевая футболка с логотипом Calvin Klein Jeans,4390,4390,Футболка,asos
21133000,Napapijri,Белая футболка с длинными рукавами Napapijri Tunturi,4790,4790,Футболка,asos
21127820,Columbia,Белая утепленная горнолыжная куртка Columbia Abbott Peak,16290,16290,Куртка,asos
21121232,Asos design,Темно-синий кардиган с косичками от комплекта ASOS DESIGN,2690,2690,Кардиган,asos
21120945,Asos design,Темно-красная юбка миди из комплекта ASOS DESIGN,2390,2390,Юбка,asos
21102910,Asos design,Лиловый oversized-худи бойфренда из органического хлопка ASOS DESIGN Curve,1990,1990,Худи,asos
21090792,Asos design,Темно-серые леггинсы в рубчик с эффектом кислотной стирки ASOS DESIGN Hourglass,1990,1990,Леггинсы,asos
21078033,Collusion,Платье-футболка с принтом COLLUSION,1590,1590,Футболка,asos
21067292,Pieces,Черный топ из органзы на пуговицах и с пышными рукавами Pieces,2390,2390,Топ,asos
21045749,Asos 4505,Бесшовный укороченный топ для йоги с фигурным дизайном ASOS 4505,2190,2190,Топ,asos
20949229,Loungeable,Носки с Сантой в подарочной упаковке Loungeable,590,590,Носки,asos
20949140,Loungeable,Короткий пижамный комплект из искусственного меха мятного цвета Loungeable,2190,2190,Комплект,asos
20852800,Asos design,Черный спортивный костюм из органического хлопка со свитшотом и джоггерами со шнурком ASOS DESIGN Hourglass,2890,2890,Костюм,asos
20845064,Asos design,Укороченный супермягкий худи сиреневого цвета с рукавами «летучая мышь» ASOS DESIGN,1790,1790,Худи,asos
20845059,Asos design,Серый укороченный супермягкий худи с рукавами «летучая мышь» ASOS DESIGN,1790,1790,Худи,asos
20844697,Asos 4505,Лонгслив из джерси с вырезом на спине и завязкой ASOS 4505,1790,1790,Лонгслив,asos
20844400,Asos 4505,Удлиненная майка с логотипом ASOS 4505 Curve,1190,1190,Майка,asos
20827025,Asos design,Синее джинсовое платье-сарафан с квадратной горловиной ASOS DESIGN Curve,3090,3090,Платье,asos
20826459,Asos design,"Набор из 2 базовых джоггеров ASOS DESIGN Petite, СКИДКА",2890,2890,Набор,asos
20826458,Asos design,Классические джоггеры с завязкой ASOS DESIGN Curve - 2 пары со скидкой,2890,2890,Джоггеры,asos
20815587,Chelsea peers,Темно-синяя пижама из экологичного полиэстера с принтом тигров с эффектом металлик Chelsea Peers Curve,3690,3690,Пижама,asos
20792431,Collusion,Бежевая куртка из искусственного меха COLLUSION,2590,2590,Куртка,asos
20765382,Asos design,Серый меланжевый спортивный костюм с джоггерами на шнурке и свитшотом из органического хлопка ASOS DESIGN Petite,2890,2890,Костюм,asos
20647979,Noisy may,Клетчатый пуховик кремового цвета Noisy May,4390,4390,Пуховик,asos
20642546,Asos design,Коричневый тренч из винила с крокодиловым тиснением ASOS DESIGN,7190,7190,Тренч,asos
20631089,Object,Черное стеганое платье мини с горловиной-оборкой Object,5790,5790,Платье,asos
